"id","article_id","sentiment","confidence","analysis_date"
"1","14391","neutral","0.538191","2024-12-11 16:12:06"
"2","14392","neutral","0.999876","2024-12-11 16:12:06"
"3","14389","neutral","0.998488","2024-12-11 16:12:06"
"4","14390","neutral","0.816204","2024-12-11 16:12:06"
"5","14383","neutral","0.866113","2024-12-11 16:12:06"
"6","14384","neutral","0.999608","2024-12-11 16:12:06"
"7","14382","neutral","0.570334","2024-12-11 16:12:06"
"8","14385","neutral","1","2024-12-11 16:12:06"
"9","14381","negative","0.577846","2024-12-11 16:12:06"
"10","14386","neutral","0.99964","2024-12-11 16:12:06"
"11","14387","neutral","0.999231","2024-12-11 16:12:06"
"12","14388","neutral","0.988868","2024-12-11 16:12:06"
"13","14380","neutral","0.99949","2024-12-11 16:12:06"
"14","14379","negative","0.9996","2024-12-11 16:12:06"
"15","14378","neutral","0.992579","2024-12-11 16:12:06"
"16","14377","neutral","0.545233","2024-12-11 16:12:06"
"17","14375","neutral","0.999814","2024-12-11 16:12:06"
"18","14376","neutral","0.999976","2024-12-11 16:12:06"
"19","14374","neutral","0.999935","2024-12-11 16:12:06"
"20","14373","positive","0.953522","2024-12-11 16:12:06"
"21","14372","neutral","0.897829","2024-12-11 16:12:07"
"22","14371","neutral","0.702249","2024-12-11 16:12:07"
"23","14370","neutral","0.999834","2024-12-11 16:12:07"
"24","14369","neutral","0.999974","2024-12-11 16:12:07"
"25","14368","positive","0.993511","2024-12-11 16:12:07"
"26","14367","positive","0.64812","2024-12-11 16:12:07"
"27","14366","negative","0.999766","2024-12-11 16:12:07"
"28","14365","neutral","0.931717","2024-12-11 16:12:07"
"29","14364","neutral","0.99992","2024-12-11 16:12:07"
"30","14363","neutral","0.99884","2024-12-11 16:12:07"
"31","14359","neutral","0.997098","2024-12-11 16:12:07"
"32","14360","neutral","0.999489","2024-12-11 16:12:07"
"33","14362","neutral","0.999953","2024-12-11 16:12:07"
"34","14361","neutral","0.999967","2024-12-11 16:12:07"
"35","14358","neutral","0.999913","2024-12-11 16:12:07"
"36","14357","neutral","0.99835","2024-12-11 16:12:07"
"37","14356","neutral","0.996071","2024-12-11 16:12:07"
"38","14355","neutral","0.999666","2024-12-11 16:12:07"
"39","14354","neutral","0.999918","2024-12-11 16:12:07"
"40","14353","neutral","0.999275","2024-12-11 16:12:07"
"41","14352","positive","0.974948","2024-12-11 16:12:07"
"42","14351","neutral","0.999931","2024-12-11 16:12:07"
"43","14350","neutral","0.999734","2024-12-11 16:12:07"
"44","14349","positive","1","2024-12-11 16:12:07"
"45","14348","neutral","0.76192","2024-12-11 16:12:07"
"46","14347","neutral","0.993679","2024-12-11 16:12:07"
"47","14346","neutral","0.999996","2024-12-11 16:12:07"
"48","14345","neutral","0.999986","2024-12-11 16:12:07"
"49","14344","neutral","0.992116","2024-12-11 16:12:07"
"50","14343","positive","0.999977","2024-12-11 16:12:07"
"51","14342","neutral","0.999876","2024-12-11 16:12:07"
"52","14341","neutral","0.999749","2024-12-11 16:12:07"
"53","14340","neutral","0.983621","2024-12-11 16:12:07"
"54","14339","neutral","0.999973","2024-12-11 16:12:07"
"55","14338","neutral","0.995414","2024-12-11 16:12:07"
"56","14337","neutral","0.999655","2024-12-11 16:12:07"
"57","14336","neutral","0.996636","2024-12-11 16:12:07"
"58","14335","positive","0.999999","2024-12-11 16:12:07"
"59","14334","positive","0.997808","2024-12-11 16:12:07"
"60","14333","neutral","0.97595","2024-12-11 16:12:07"
"61","14332","neutral","0.99527","2024-12-11 16:12:07"
"62","14331","positive","0.99988","2024-12-11 16:12:07"
"63","14330","neutral","0.999935","2024-12-11 16:12:07"
"64","14329","neutral","0.999953","2024-12-11 16:12:08"
"65","14328","neutral","0.874303","2024-12-11 16:12:08"
"66","14327","neutral","0.999931","2024-12-11 16:12:08"
"67","14326","neutral","0.93861","2024-12-11 16:12:08"
"68","14325","neutral","0.954597","2024-12-11 16:12:08"
"69","14324","neutral","0.999806","2024-12-11 16:12:08"
"70","14323","neutral","0.999996","2024-12-11 16:12:08"
"71","14322","neutral","0.88012","2024-12-11 16:12:08"
"72","14321","neutral","0.999804","2024-12-11 16:12:08"
"73","14320","neutral","0.995925","2024-12-11 16:12:08"
"74","14319","positive","0.987847","2024-12-11 16:12:08"
"75","14318","neutral","0.999795","2024-12-11 16:12:08"
"76","14317","neutral","0.999945","2024-12-11 16:12:08"
"77","14316","neutral","0.987562","2024-12-11 16:12:08"
"78","14315","negative","0.947339","2024-12-11 16:12:08"
"79","14314","positive","0.992747","2024-12-11 16:12:08"
"80","14313","positive","0.602906","2024-12-11 16:12:08"
"81","14312","neutral","0.999385","2024-12-11 16:12:08"
"82","14311","neutral","0.964492","2024-12-11 16:12:08"
"83","14310","neutral","0.999776","2024-12-11 16:12:08"
"84","14309","neutral","0.999862","2024-12-11 16:12:08"
"85","14308","neutral","0.998686","2024-12-11 16:12:08"
"86","14307","positive","0.999836","2024-12-11 16:12:08"
